,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ushuaia,75,AR,1573254237,98,-54.81,-68.31,35.6,28.86
1,kloulklubed,90,PW,1573254283,94,7.04,134.26,75.2,9.17
2,bubaque,41,GW,1573254291,69,11.28,-15.83,84.02,13.35
3,soe,90,EE,1573254299,100,57.91,26.05,39.99,5.82
4,cape town,99,ZA,1573254208,63,-33.93,18.42,66,6.93
5,nabire,100,ID,1573254315,59,-3.36,135.5,86.16,0.45
6,san cristobal,62,HN,1573254323,93,14.68,-86.92,68.04,2.57
7,mataura,62,NZ,1573254330,78,-46.19,168.86,66.99,5.01
8,samarai,66,PG,1573254338,69,-10.62,150.67,84.11,4
9,ambovombe,0,MG,1573254346,94,-25.18,46.09,68.09,4.23
10,bredasdorp,100,ZA,1573254354,72,-34.53,20.04,63,18.34
11,port elizabeth,1,US,1573254302,37,39.31,-74.98,39.99,6.93
12,bima,0,ID,1573254370,69,-8.45,118.73,81.3,3.31
13,port alfred,97,ZA,1573254378,80,-33.59,26.89,57.99,3
14,fort-shevchenko,61,KZ,1573254385,70,44.51,50.26,51.15,15.52
15,kazalinsk,92,PT,1573254401,75,38.52,-28.7,61.12,2.3
16,ribeira grande,70,RU,1573254409,92,66.77,123.37,-14.46,13.58
17,zhigansk,73,GL,1573254417,29,69.22,-51.1,39.2,29.97
18,ilulissat,1,US,1573254425,57,22.08,-159.32,80.6,4.7
19,kapaa,75,PT,1573254432,63,33.08,-16.33,66.2,11.41
20,camacha,20,MX,1573254362,48,22.89,-109.91,91.4,16.11
21,cabo san lucas,4,PF,1573254448,78,-9.8,-139.03,80.17,13.89
22,atuona,0,GL,1573254456,58,77.48,-69.36,-4.69,6.26
23,qaanaaq,93,MR,1573254472,23,20.52,-13.05,74.1,6.38
24,barentsburg,75,GY,1573254487,88,6.8,-58.16,82.4,4.7
25,atar,0,YE,1573254495,65,13.06,44.88,76.5,6.55
26,umm durman,46,RU,1573254503,96,56.84,124.9,-15.98,2.06
27,georgetown,100,BR,1573254511,84,-20.21,-50.93,74.75,8.03
28,lahij,0,AR,1573254519,69,-46.43,-67.52,48.52,16.11
29,chulman,75,AU,1573254527,89,-42.78,147.06,55,12.75
30,santa fe do sul,1,US,1573254535,40,41.14,-73.36,37,14.99
31,mar del plata,49,CL,1573254542,58,-41.87,-73.83,57.2,8.05
32,new norfolk,75,US,1573254550,87,40.6,-124.16,66.99,8.05
33,westport,1,BR,1573254558,86,-30.17,-50.22,70.9,18.59
34,ancud,0,BG,1573254566,87,43.19,27.7,60.01,2.24
35,fortuna,94,RU,1573254574,97,73.51,80.55,-2.1,11.34
36,cidreira,0,OM,1573254582,54,22.69,58.55,69.12,1.1
37,beloslav,99,PF,1573254590,78,-23.12,-134.97,73.65,11.86
38,dikson,100,RU,1573254614,91,60.35,102.28,28.83,12.26
39,ibra,100,RU,1573254622,95,60.37,93.04,7.5,6.67
40,rikitea,90,CA,1573254630,77,69.44,-133.03,6.8,3.36
41,amderma,75,US,1573254638,75,31.33,-89.29,50,14.99
42,attawapiskat,20,US,1573254646,42,42.65,-73.75,30.2,9.17
43,vanavara,75,CA,1573254655,61,49.72,-86.95,14,4.7
44,severo-yeniseyskiy,75,CL,1573254663,56,-53.16,-70.91,42.8,24.16
45,tuktoyaktuk,75,AU,1573254671,64,-42.88,147.33,55,12.75
46,hattiesburg,20,ES,1573254679,64,29.06,-13.56,68,20.8
47,albany,90,CA,1573254687,78,54.77,-101.88,17.6,4.7
48,geraldton,27,GL,1573254695,38,60.72,-46.03,39.2,3.36
49,punta arenas,20,GR,1573254703,81,39.45,22.34,51.8,3.87
50,hobart,78,RU,1573254711,94,71.97,114.09,-14.07,11.74
51,teguise,90,CA,1573254719,66,55.74,-97.86,14,5.82
52,flin flon,100,BR,1573254727,95,-22.97,-42.02,72.68,7.05
53,qaqortoq,42,RU,1573254743,90,66.32,-179.17,14.88,6.4
54,saint george,84,RU,1573254751,74,59.36,143.24,17.2,21.47
55,saskylakh,100,AR,1573254766,73,-38.31,-60.23,54.55,8.19
56,thompson,20,MU,1573254774,82,-20.34,57.76,69.01,6.93
57,arraial do cabo,12,AU,1573254782,30,-34.58,150.85,66,16.11
58,louisbourg,93,RU,1573254790,95,66,57.56,11.44,12.73
59,egvekinot,75,EC,1573254798,69,-0.74,-90.35,77,10.29
60,okhotsk,0,OM,1573254805,73,17.01,54.1,77,3.36
61,nizhneyansk,96,RU,1573254813,89,50.68,156.12,28.65,13.15
62,barrow,1,IN,1573254821,95,15.34,74.49,65.43,1.5
63,bambous virieux,0,NA,1573254829,81,-22.12,14.28,64.99,1.01
64,flinders,20,ET,1573254837,62,8.96,38.73,57.2,5.82
65,usinsk,40,CO,1573254845,74,-3.77,-70.38,86,2.24
66,puerto ayora,90,CA,1573254853,66,51.26,-80.61,15.8,9.17
67,salalah,90,US,1573254860,92,60.79,-161.76,37.4,9.17
68,severo-kurilsk,40,BR,1573254868,74,-3.71,-38.6,80.6,10.29
69,vaini,100,KI,1573254876,63,3.07,172.79,84.65,6.71
70,henties bay,17,BW,1573254884,25,-20.21,26.19,83.73,8.32
71,lebu,24,NG,1573254892,56,8.85,5.42,78.03,1.88
72,puerto narino,78,PH,1573254900,74,13.32,122.68,82.24,9.15
73,moose factory,5,ZA,1573254908,91,-32.25,24.53,52.34,7.56
74,bethel,100,ID,1573254916,85,-2.08,101.38,65.25,0.69
75,vila velha,100,BR,1573254924,90,-20.63,-46,67.69,4.74
76,butaritari,100,RU,1573254932,89,63.29,118.35,5.41,8.48
77,nata,100,RU,1573254730,96,63.01,112.47,21.81,5.86
78,lafiagi,90,CA,1573254752,78,68.22,-135.01,10.4,5.82
79,san andres,100,GL,1573254955,55,65.61,-37.64,39.2,43.62
80,graaff-reinet,75,JP,1573254971,62,35.74,139.53,60.01,8.52
81,sungaipenuh,95,GL,1573254979,35,64.17,-51.74,39.2,3.36
82,ponta do sol,40,CA,1573254987,84,63.75,-68.52,6.8,9.17
83,nyurba,40,RU,1573254995,75,69.41,86.18,-18.41,8.95
84,chernyshevskiy,20,ID,1573255003,94,1.49,124.85,75.2,1.01
85,aklavik,40,CO,1573255010,88,5.66,-67.63,78.8,2.24
86,tasiilaq,99,RU,1573255018,96,67.46,153.71,-0.8,5.35
87,bocaranga,25,ID,1573255034,82,-5.36,104.98,73.13,3.67
88,nishihara,94,KZ,1573255050,75,48.59,57.19,34.2,10.92
89,nuuk,0,AU,1573255065,21,-23.58,149.07,83.19,11.7
90,iqaluit,90,RU,1573255073,89,71.64,128.87,-18.91,5.61
91,dudinka,100,ML,1573255081,23,22.68,-3.98,71.55,5.19
92,manado,0,RU,1573255097,84,64.73,177.51,8.6,4.47
93,puerto ayacucho,1,US,1573254953,63,43.59,-83.89,32,5.82
94,srednekolymsk,90,CA,1573255121,85,48.72,-86.38,19.4,14.32
95,asau,75,CA,1573255128,66,65.28,-126.83,12.2,11.41
96,pringsewu,84,RU,1573255136,74,68.75,161.3,11.7,4.72
97,illoqqortoormiut,75,US,1573255144,58,19.71,-155.08,86,6.93
98,shubarshi,92,CK,1573255152,74,-21.21,-159.78,78.8,11.41
99,umzimvubu,90,US,1573255154,87,40.8,-124.16,64.99,8.05
100,bluff,4,AU,1573255168,39,-33.21,138.6,55.81,8.77
